policy_id,effective_date,expiration_date,cancellation_date,in_force,exposure,driver_age,vehicle_age,province,vehicle_make,body_type,horsepower,vehicle_color,vehicle_transmission,claim_counts,loss_amt,player_id,commercial_premium
AUTO-TPL-2618F1F4A4,31/05/2023,30/05/2024,,true,1.0,18,14,SH,Chevrolet,4x4,109,blue,automatic,0,0.0,8,665.2328
AUTO-TPL-1958AC8700,08/11/2023,07/11/2024,25/10/2024,false,0.9643835616438357,29,1,HA,Toyota,lightcomm,81,white,automatic,0,0.0,8,249.6148
AUTO-TPL-F37B314B48,13/03/2023,12/03/2024,,true,1.0,41,15,QS,other,sedan,116,blue,automatic,0,0.0,8,733.9285
AUTO-TPL-AC4429361B,05/11/2023,04/11/2024,,true,1.0,36,1,AS,Chevrolet,heavycomm,80,black,automatic,0,0.0,8,477.1929
AUTO-TPL-F8BDAB7E52,10/03/2023,09/03/2024,04/05/2023,false,0.1506849315068493,45,2,RI,Toyota,lightcomm,113,grey,automatic,0,0.0,8,428.5886
AUTO-TPL-7559C70635,26/12/2023,25/12/2024,19/01/2024,false,0.06575342465753424,54,1,SH,Ford,sedan,67,white,automatic,0,0.0,8,312.535
AUTO-TPL-84E790D49E,22/09/2023,21/09/2024,,true,1.0,57,17,NJ,other,heavycomm,130,blue,automatic,1,1083.9408,8,733.9285
AUTO-TPL-5407D68E37,17/02/2023,17/02/2024,,true,1.0,32,1,AS,KIA,4x4,164,red,manual,0,0.0,8,1553.7246
AUTO-TPL-6E22B18D50,15/09/2023,14/09/2024,,true,1.0,50,8,RI,other,sedan,40,grey,manual,0,0.0,8,693.7136
AUTO-TPL-017F874C69,01/06/2023,31/05/2024,,true,1.0,86,0,HS,Mercedes,4x4,148,grey,automatic,1,1588.7012,8,1663.5539
AUTO-TPL-4EAC9BCC5F,11/08/2023,10/08/2024,,true,1.0,36,0,NJ,other,4x4,125,black,automatic,0,0.0,8,526.4705
AUTO-TPL-201CC9E19B,21/06/2023,20/06/2024,,true,1.0,39,0,RI,other,4x4,131,silver,manual,0,0.0,8,593.313
AUTO-TPL-73D7F5A880,18/01/2023,18/01/2024,29/04/2023,false,0.27671232876712326,51,19,HA,KIA,pickup,40,silver,automatic,0,0.0,8,736.4094
